Company,Inches,ScreenResolution,Cpu_Company,Ram_in_GB,Memory,OpSys,Price,ScreenType,Gpu_Model,Cpu_Model,Memory_Type,Company_freq,Ram_in_GB_freq,Inches_freq,Memory_freq,Gpu_Company_orig,Gpu_Company_Amd,Gpu_Company_Arm,Gpu_Company_Intel,Gpu_Company_Nvidia,OpSys_freq,ScreenType_Full HD ,ScreenType_IPS Panel ,ScreenType_IPS Panel Full HD ,ScreenType_IPS Panel Quad HD,ScreenType_IPS Panel Retina Display ,ScreenType_IPS Panel Touchscreen ,ScreenType_QHD ,ScreenType_Quad HD,ScreenType_Regular,ScreenType_Touchscreen ,Gpu_Model_freq,ScreenResolution_freq
Apple,13.3,2560x1600,Intel,8,128GB,macOS,71378.68,IPS Panel Retina Display ,Iris Plus Graphics 640,Core i5 2.3GHz,SSD,21,619,164,177,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,8,13
Apple,13.3,1440x900,Intel,8,128GB,macOS,47895.52,Regular,HD Graphics 6000,Core i5 1.8GHz,Flash Storage,21,619,164,177,Intel,0,0,1,0,13,0,0,0,0,0,0,0,0,1,0,5,4
Apple,15.4,2880x1800,Intel,16,512GB,macOS,135195.34,IPS Panel Retina Display ,Radeon Pro 455,Core i7 2.7GHz,SSD,21,216,4,145,Amd,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,4
Apple,13.3,2560x1600,Intel,8,256GB,macOS,96095.81,IPS Panel Retina Display ,Iris Plus Graphics 650,Core i5 3.1GHz,SSD,21,619,164,508,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,2,13
Acer,15.6,1366x768,AMD,4,500GB,Windows 10,21312.0,Regular,Radeon R5,A9-Series 9420 3GHz,HDD,107,375,677,132,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,11,282
Apple,15.4,2880x1800,Intel,16,256GB,Mac OS X,114017.6,IPS Panel Retina Display ,Iris Pro Graphics,Core i7 2.2GHz,Flash Storage,21,216,4,508,Intel,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,1,4
Apple,13.3,1440x900,Intel,8,256GB,macOS,61735.54,Regular,HD Graphics 6000,Core i5 1.8GHz,Flash Storage,21,619,164,508,Intel,0,0,1,0,13,0,0,0,0,0,0,0,0,1,0,5,4
Asus,14.0,1920x1080,Intel,16,512GB,Windows 10,79653.6,Full HD ,GeForce MX150,Core i7 8550U 1.8GHz,SSD,160,216,199,145,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,10,809
Acer,14.0,1920x1080,Intel,8,256GB,Windows 10,41025.6,IPS Panel Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,107,619,199,508,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,809
Apple,15.4,2880x1800,Intel,16,256GB,macOS,130001.6,IPS Panel Retina Display ,Radeon Pro 555,Core i7 2.8GHz,SSD,21,216,4,508,Amd,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,4
Dell,15.6,1920x1080,Intel,4,256GB,Windows 10,26581.39,Full HD ,Radeon R5 M430,Core i3 6006U 2GHz,SSD,301,375,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,20,809
Apple,12.0,2304x1440,Intel,8,256GB,macOS,67260.67,IPS Panel Retina Display ,HD Graphics 615,Core M m3 1.2GHz,SSD,21,619,6,508,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,14,6
Apple,13.3,2560x1600,Intel,8,256GB,macOS,80908.34,IPS Panel Retina Display ,Iris Plus Graphics 640,Core i5 2.3GHz,SSD,21,619,164,508,Intel,0,0,1,0,13,0,0,0,0,1,0,0,0,0,0,8,13
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,39693.6,Full HD ,Radeon R5 M430,Core i7 7500U 2.7GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,20,809
Apple,15.4,2880x1800,Intel,16,512GB,macOS,152274.24,IPS Panel Retina Display ,Radeon Pro 560,Core i7 2.9GHz,SSD,21,216,4,145,Amd,1,0,0,0,13,0,0,0,0,1,0,0,0,0,0,1,4
Dell,13.3,1920x1080,Intel,8,128GB,Windows 10,52161.12,IPS Panel Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,301,619,164,177,Intel,0,0,1,0,1065,0,0,1,0,0,0,0,0,0,0,68,809
Asus,11.6,1366x768,Intel,2,32GB,Windows 10,10224.43,Regular,HD Graphics 400,Atom x5-Z8350 1.44GHz,Flash Storage,160,22,33,45,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,34,282
Lenovo,15.6,1920x1080,Intel,8,128GB,Windows 10,53226.72,IPS Panel Full HD ,GeForce GTX 1050,Core i5 7300HQ 2.5GHz,SSD +  1TB HDD,301,619,677,177,Nvidia,0,0,0,1,1065,0,0,1,0,0,0,0,0,0,0,61,809
Dell,13.3,1920x1080,Intel,8,256GB,Windows 10,43636.32,Full HD ,UHD Graphics 620,Core i5 8250U 1.6GHz,SSD,301,619,164,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
HP,15.6,1920x1080,Intel,8,256GB,Windows 10,35111.52,Full HD ,HD Graphics 620,Core i7 8550U 1.8GHz,SSD,279,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,270,809
Dell,15.6,1366x768,Intel,4,1TB,Windows 10,22305.14,Regular,HD Graphics 520,Core i3 6006U 2GHz,HDD,301,375,677,260,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,1,0,170,282
Apple,13.3,1440x900,Intel,8,128GB,Mac OS X,58554.72,Regular,HD Graphics 6000,Core i5 1.6GHz,Flash Storage,21,619,164,177,Intel,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,5,4
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,42624.0,Full HD ,Radeon 530,Core i5 8250U 1.6GHz,SSD,301,619,677,508,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,15.6,1920x1080,Intel,8,256GB,Windows 10,69157.44,Full HD ,UHD Graphics 620,Core i7 8650U 1.9GHz,SSD +  256GB SSD,301,619,677,508,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,68,809
HP,17.3,1920x1080,Intel,8,1TB,Windows 10,47738.88,Full HD ,GeForce 930MX,Core i5 8250U 1.6GHz,HDD,279,619,171,260,Nvidia,0,0,0,1,1065,1,0,0,0,0,0,0,0,0,0,20,809
Chuwi,15.6,1920x1080,Intel,4,64GB,Windows 10,13053.07,Full HD ,HD Graphics,Atom x5-Z8300 1.44GHz,Flash Storage,3,375,677,17,Intel,0,0,1,0,1065,1,0,0,0,0,0,0,0,0,0,29,809
Asus,14.0,1366x768,AMD,2,32GB,Windows 10,10602.72,Regular,Radeon R2,E-Series E2-6110 1.5GHz,Flash Storage,160,22,199,45,Amd,1,0,0,0,1065,0,0,0,0,0,0,0,0,1,0,4,282
HP,17.3,1920x1080,AMD,4,500GB,Windows 10,23389.92,Full HD ,Radeon 530,A6-Series 9220 2.5GHz,HDD,279,375,171,132,Amd,1,0,0,0,1065,1,0,0,0,0,0,0,0,0,0,41,809
Dell,13.3,3200x1800,Intel,16,512GB,Windows 10,99580.32,Touchscreen ,UHD Graphics 620,Core i7 8550U 1.8GHz,SSD,301,216,164,145,Intel,0,0,1,0,1065,0,0,0,0,0,0,0,0,0,1,68,27
Apple,13.3,1440x900,Intel,8,256GB,Mac OS X,53173.44,Regular,HD Graphics 6000,Core i5 1.6GHz,Flash Storage,21,619,164,508,Intel,0,0,1,0,8,0,0,0,0,0,0,0,0,1,0,5,4
